route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id
8B,05510 (U-FR) bis 25.07.25,[@1.0.117451671@][1674555385520]/1__05510_(U-FR)_bis_25.07.25,shape_0,Gabelsbergerstr.,,1,05510 (U-FR) bis 25.07.25
8B,05510 (U-MD),[@1.0.117451671@][1674555385520]/1__05510_(U-MD),shape_0,Gabelsbergerstr.,,1,05510 (U-MD)
8B,05517 MF,[@1.0.117451671@][1674555385520]/1__05517_MF,shape_0,Gabelsbergerstr.,,1,05517 MF
8B,05510 (U-FR),[@1.0.117451671@][1674555385520]/1__05510_(U-FR),shape_0,Gabelsbergerstr.,,1,05510 (U-FR)
18,1810 SO,[@1.0.139576287@][1][1686826645177]/7__1810_SO,shape_1,Sportpark Ost,,0,1810 SO
18,1810 SO bis 27.07.25,[@1.0.139576287@][1][1686826645177]/7__1810_SO_bis_27.07.25,shape_1,Sportpark Ost,,0,1810 SO bis 27.07.25
18,912 SO bis 27.07.25,[@1.0.139576287@][1][1686826645180]/8__912_SO_bis_27.07.25,shape_1,Sportpark Ost,,0,912 SO bis 27.07.25
18,912 SO,[@1.0.139576287@][1][1686826645180]/8__912_SO,shape_1,Sportpark Ost,,0,912 SO
C6,00602 (U-MD),[@1.0.143535942@][1692874152941]/1__00602_(U-MD),shape_2,Hauptbahnhof,,0,00602 (U-MD)
C6,00602 (U-FR),[@1.0.143535942@][1692874152941]/1__00602_(U-FR),shape_2,Hauptbahnhof,,0,00602 (U-FR)
C6,06614 Ferien (U-MD),[@1.0.143535942@][1692874152941]/10__06614_Ferien_(U-MD),shape_2,Hauptbahnhof,,0,06614 Ferien (U-MD)
C6,06614 Ferien (U-FR),[@1.0.143535942@][1692874152941]/10__06614_Ferien_(U-FR),shape_2,Hauptbahnhof,,0,06614 Ferien (U-FR)
C6,05314 (U-FR),[@1.0.143535942@][1692874152941]/10__05314_(U-FR),shape_2,Hauptbahnhof,,0,05314 (U-FR)
C6,05314 (U-FR) bis 25.07.25,[@1.0.143535942@][1692874152941]/10__05314_(U-FR)_bis_25.07.25,shape_2,Hauptbahnhof,,0,05314 (U-FR) bis 25.07.25
C6,05314 (U-MD),[@1.0.143535942@][1692874152941]/10__05314_(U-MD),shape_2,Hauptbahnhof,,0,05314 (U-MD)
C6,07216 (U-FR),[@1.0.143535942@][1692874152941]/11__07216_(U-FR),shape_2,Hauptbahnhof,,0,07216 (U-FR)
